MNIST   MLP 1x512 (50% Corruption) | Input Layer Weights       | # Pristine Correlated:    8 (Fraction: 0.000020) | # Corrupt Correlated: 1598 (Fraction: 0.003981) | Overlap:   1 | Corrupt   
CIFAR10 MLP 1x512 (75% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    2 (Fraction: 0.000001) | Overlap:   0 | Corrupt   
CIFAR10 MLP 3x512 (75% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    2 (Fraction: 0.003906) | Overlap:   0 | Corrupt   
CIFAR10 MLP 3x512 (25% Corruption) | Hidden Layer 2 Bias       | # Pristine Correlated:   83 (Fraction: 0.162109) | # Corrupt Correlated:    1 (Fraction: 0.001953) | Overlap:   0 | Pristine  
CIFAR10 MLP 3x512 (50% Corruption) | Output Layer Weights      | # Pristine Correlated:    6 (Fraction: 0.001172) | # Corrupt Correlated:    1 (Fraction: 0.000195) | Overlap:   0 | Pristine  
MNIST   MLP 3x512 (25% Corruption) | Output Layer Weights      | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    1 (Fraction: 0.000195) | Overlap:   0 | Corrupt   
MNIST   MLP 3x512 (50% Corruption) | Output Layer Weights      | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    1 (Fraction: 0.000195) | Overlap:   0 | Corrupt   
MNIST   MLP 3x512 (75% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    1 (Fraction: 0.000002) | Overlap:   0 | Corrupt   
CIFAR10 MLP 1x512 (50% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    1 (Fraction: 0.000001) | Overlap:   0 | Corrupt   
CIFAR10 MLP 3x512 (75% Corruption) | Output Layer Weights      | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    1 (Fraction: 0.000195) | Overlap:   0 | Corrupt   
CIFAR10 MLP 3x512 (25% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:   98 (Fraction: 0.191406) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
CIFAR10 MLP 1x512 (25% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:   73 (Fraction: 0.142578) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
CIFAR10 MLP 1x512 (25% Corruption) | Output Layer Bias         | # Pristine Correlated:    8 (Fraction: 0.800000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
CIFAR10 MLP 3x512 (50% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:    7 (Fraction: 0.013672) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
CIFAR10 MLP 3x512 (25% Corruption) | Output Layer Bias         | # Pristine Correlated:    3 (Fraction: 0.300000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
MNIST   MLP 1x512 (25% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    1 (Fraction: 0.001953) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
MNIST   MLP 1x512 (25% Corruption) | Output Layer Bias         | # Pristine Correlated:    1 (Fraction: 0.100000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Pristine  
MNIST   MLP 1x512 (25% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (50% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (50% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (50% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (75% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (75% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 1x512 (75% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 2 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (25% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 2 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (50% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 1 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 2 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
MNIST   MLP 3x512 (75% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (50% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (50% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (50% Corruption) | Output Layer Weights      | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (75% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (75% Corruption) | Input Layer Bias          | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (75% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 1x512 (75% Corruption) | Output Layer Weights      | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (25% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (25% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (25% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (50% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (50% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (50% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (50% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Hidden Layer 1 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Hidden Layer 2 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Hidden Layer 3 Bias       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Hidden Layer 3 Weights    | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Input Layer Weights       | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
CIFAR10 MLP 3x512 (75% Corruption) | Output Layer Bias         | # Pristine Correlated:    0 (Fraction: 0.000000) | # Corrupt Correlated:    0 (Fraction: 0.000000) | Overlap:   0 | Mixed     
